streamlit run dashboard/app.pytransaction_id,customer_id,merchant,amount,transaction_date,payment_mode,status
TXN000001,CUST00828,Zomato,9525.01,2026-03-25,net_banking,pending
TXN000002,CUST00178,Paytm Mall,6286.26,2025-12-05,credit_card,pending
TXN000003,CUST01003,Zomato,4994.71,2026-05-27,cash,pending
TXN000004,CUST00795,Swiggy,21538.69,2025-09-08,debit_card,pending
TXN000005,CUST00694,Flipkart,2083.31,2026-05-24,upi,pending
TXN000006,CUST00648,Myntra,10071.54,2025-10-07,net_banking,pending
TXN000007,CUST00743,Paytm Mall,24739.35,2026-02-20,net_banking,pending
TXN000008,CUST00948,Swiggy,24418.03,2025-11-22,upi,pending
TXN000009,CUST00364,Flipkart,23598.33,2026-04-26,credit_card,pending
TXN000010,CUST00351,Myntra,11848.43,2025-12-23,credit_card,pending
TXN000011,CUST00293,Swiggy,7752.08,2025-05-25,debit_card,pending
TXN000012,CUST00831,BigBasket,5027.85,2025-06-20,cash,pending
TXN000013,CUST00828,BigBasket,20630.09,2025-07-26,credit_card,pending
TXN000014,CUST00269,Swiggy,18466.47,2026-05-25,debit_card,pending
TXN000015,CUST00837,Swiggy,3117.93,2025-07-22,net_banking,pending
TXN000016,CUST00840,Ola,,2025-09-06,upi,completed
TXN000017,CUST00480,Ola,21154.67,2025-07-22,net_banking,cancelled
TXN000018,CUST00149,Amazon,12535.81,2025-05-28,cash,pending
TXN000019,CUST00444,Myntra,9430.59,2025-11-11,upi,cancelled
TXN000020,CUST00849,Amazon,20344.08,2026-02-20,cash,pending
TXN000021,CUST00817,Zomato,19272.83,2025-09-17,cash,pending
TXN000022,CUST00217,Zomato,21857.01,2026-05-27,upi,pending
TXN000023,CUST00607,Myntra,10958.75,2025-07-03,cash,completed
TXN000024,CUST00143,BigBasket,12583.73,2026-05-08,debit_card,cancelled
TXN000025,CUST00261,Uber,23246.47,2025-10-01,upi,pending
TXN000026,CUST00327,Reliance Digital,7064.45,2026-05-05,upi,pending
TXN000027,CUST00399,Ola,9501.81,2025-09-01,cash,pending
TXN000028,CUST00396,Uber,22284.31,2026-04-29,upi,pending
TXN000029,CUST00474,Amazon,10212.06,2025-11-15,credit_card,pending
TXN000030,CUST01028,Swiggy,13298.39,2025-05-23,debit_card,pending
TXN000031,CUST00910,Myntra,23327.96,,upi,failed
TXN000032,CUST00589,Uber,5015.11,2025-06-02,credit_card,refund
TXN000033,CUST00066,Paytm Mall,24028.84,2025-12-22,debit_card,pending
TXN000034,CUST00605,Myntra,4858.16,2025-07-13,upi,refund
TXN000035,CUST00353,Swiggy,6627.4,2025-11-07,upi,pending
TXN000036,CUST00797,Uber,10459.89,2026-05-24,net_banking,pending
TXN000037,CUST00561,BigBasket,11584.42,2026-05-16,debit_card,pending
TXN000038,CUST00976,BigBasket,16628.65,2025-06-30,debit_card,pending
TXN000039,CUST00032,Amazon,2880.54,2026-01-30,debit_card,pending
TXN000040,CUST00564,Uber,15841.35,2026-03-17,net_banking,pending
TXN000041,CUST00279,Amazon,14707.69,2025-06-16,cash,pending
TXN000042,CUST01048,BigBasket,5756.6,2026-06-13,credit_card,pending
TXN000043,CUST00856,Swiggy,5747.71,2025-08-27,cash,pending
TXN000044,CUST00565,Zomato,16424.38,2025-06-28,debit_card,pending
TXN000045,CUST00356,Paytm Mall,17548.47,2026-04-22,credit_card,refund
TXN000046,,Flipkart,18121.45,2025-08-01,credit_card,pending
TXN000047,CUST00777,Reliance Digital,4172.43,2026-06-27,debit_card,failed
TXN000048,CUST00330,Myntra,8508.9,2025-06-19,net_banking,completed
TXN000049,CUST00630,Paytm Mall,4497.59,2025-07-18,credit_card,pending
TXN000050,CUST00474,Zomato,9427.15,2026-05-07,debit_card,failed
TXN000051,CUST00910,Flipkart,18327.75,2026-03-27,net_banking,cancelled
TXN000052,CUST00341,Reliance Digital,19353.39,2025-11-30,credit_card,pending
TXN000053,CUST00813,Amazon,519.3,2025-08-12,cash,pending
TXN000054,CUST00606,Flipkart,7259.66,2026-01-30,credit_card,pending
TXN000055,CUST00725,Ola,4107.22,2026-05-07,cash,pending
TXN000056,CUST00071,Paytm Mall,9422.62,2025-10-08,net_banking,pending
TXN000057,CUST00038,Myntra,19094.89,2025-10-17,debit_card,failed
TXN000058,CUST00467,Zomato,4362.12,2025-12-17,net_banking,refund
TXN000059,CUST00533,Amazon,4104.25,2026-03-09,debit_card,pending
TXN000060,CUST00059,Swiggy,20942.99,2025-07-29,cash,completed
TXN000061,CUST00126,Myntra,-150.5,2025-09-30,net_banking,pending
TXN000062,CUST00007,BigBasket,23317.37,2025-06-10,credit_card,pending
TXN000063,CUST00340,BigBasket,14709.82,2025-11-13,debit_card,pending
TXN000064,CUST00187,Reliance Digital,9245.68,2025-08-12,upi,pending
TXN000065,CUST00427,Zomato,17889.56,2025-07-13,net_banking,pending
TXN000066,CUST00276,Uber,11890.69,2025-09-27,net_banking,pending
TXN000067,CUST01034,Zomato,22927.8,2026-02-25,debit_card,pending
TXN000068,CUST00465,Paytm Mall,17180.57,2025-12-24,credit_card,pending
TXN000069,CUST00495,BigBasket,6269.93,2026-06-19,net_banking,pending
TXN000070,CUST00199,Myntra,19838.61,2025-06-07,credit_card,refund
TXN000071,CUST00646,Swiggy,4748.69,2025-06-17,cash,pending
TXN000072,CUST00523,Ola,263.31,2026-02-18,credit_card,pending
TXN000073,CUST00327,Paytm Mall,8620.78,2025-08-03,cash,pending
TXN000074,CUST00406,Swiggy,11315.32,2025-06-05,debit_card,pending
TXN000075,CUST00161,Ola,20872.24,2025-12-03,upi,pending
TXN000076,CUST00502,Amazon,13462.49,2026-07-27,net_banking,pending
TXN000077,CUST00434,Flipkart,5560.76,2026-04-05,credit_card,pending
TXN000078,CUST00889,Ola,2857.96,2026-01-01,upi,pending
TXN000079,CUST00868,Uber,13963.14,2025-12-01,cash,failed
TXN000080,CUST00707,Flipkart,20211.9,2025-10-09,credit_card,pending
TXN000081,CUST00450,Uber,6683.82,2026-04-05,debit_card,pending
TXN000082,CUST00498,Amazon,5324.0,2026-04-28,debit_card,pending
TXN000083,CUST00537,Amazon,1950.13,2025-12-05,cash,pending
TXN000084,CUST01013,Ola,19116.53,2026-05-18,debit_card,pending
TXN000085,CUST00482,Flipkart,15128.27,2026-02-20,cash,completed
TXN000086,CUST00816,Uber,19380.82,2025-06-26,upi,pending
TXN000087,CUST01004,Amazon,8468.86,2026-03-23,credit_card,pending
TXN000088,CUST00172,Reliance Digital,15859.7,2025-12-18,debit_card,pending
TXN000089,CUST00037,Flipkart,499.59,2025-11-03,credit_card,pending
TXN000090,CUST00881,Swiggy,20760.59,2025-10-16,cash,pending
TXN000091,CUST00363,Swiggy,17644.53,2025-07-15,upi,invalid_txn_status
TXN000092,CUST00791,Paytm Mall,15798.94,2025-07-01,cash,pending
TXN000093,CUST00513,Uber,21223.35,2026-05-30,credit_card,pending
TXN000094,CUST00072,Myntra,18716.56,2025-06-27,net_banking,pending
TXN000095,CUST00596,Paytm Mall,14947.37,2025-09-11,cash,cancelled
TXN000096,CUST00918,BigBasket,6314.54,2025-09-29,cash,pending
TXN000097,CUST00306,Paytm Mall,4766.22,2026-02-08,net_banking,pending
TXN000098,CUST00728,Myntra,15050.74,2025-06-28,net_banking,pending
TXN000099,CUST00001,Flipkart,8450.61,2026-06-02,credit_card,pending
TXN000100,CUST00865,Amazon,2219.69,2026-01-12,net_banking,pending
TXN000101,CUST00181,Swiggy,19419.33,2025-10-22,cash,pending
